"","exp_stage","image11","image12","click","attn","attn_index","attn_fail","rt","participant_id"
"145","main_trial_8","0944.jpg","0045.jpg","01",0,1,0,6011,"663a5c30a219723353ab4290"
"146","main_trial_9","0798.jpg","0936.jpg","10",0,1,0,4334,"663a5c30a219723353ab4290"
"147","main_trial_10","0173.jpg","1052.jpg","01",0,1,0,2815,"663a5c30a219723353ab4290"
"148","main_trial_11","0311.jpg","0346.jpg","01",0,0,0,4455,"663a5c30a219723353ab4290"
"149","main_trial_12","0231.jpg","0178.jpg","10",0,0,0,3646,"663a5c30a219723353ab4290"
"150","main_trial_13","0404.jpg","0532.jpg","10",0,1,0,2343,"663a5c30a219723353ab4290"
"151","main_trial_14","0353.jpg","0084.jpg","10",0,1,0,2356,"663a5c30a219723353ab4290"
"152","main_trial_15","0319.jpg","0892.jpg","10",0,1,0,3804,"663a5c30a219723353ab4290"
"153","main_trial_16","1033.jpg","0560.jpg","10",0,1,0,3357,"663a5c30a219723353ab4290"
"154","main_trial_17","0778.jpg","0277.jpg","01",0,1,0,5678,"663a5c30a219723353ab4290"
"155","main_trial_18","0329.jpg","0036.jpg","01",0,1,0,5486,"663a5c30a219723353ab4290"
"156","main_trial_19","0853.jpg","0770.jpg","01",0,0,0,5211,"663a5c30a219723353ab4290"
"157","main_trial_20","0057.jpg","0437.jpg","01",0,1,0,1934,"663a5c30a219723353ab4290"
"158","main_trial_21","0415.jpg","0180.jpg","01",0,1,0,2669,"663a5c30a219723353ab4290"
"159","main_trial_22","attn36.jpg","0014.jpg","10",1,0,0,2219,"663a5c30a219723353ab4290"
"160","main_trial_23","attn34.jpg","0368.jpg","01",1,1,0,1979,"663a5c30a219723353ab4290"
"161","main_trial_24","0213.jpg","0729.jpg","01",0,0,0,9029,"663a5c30a219723353ab4290"
"162","main_trial_25","0096.jpg","0842.jpg","01",0,0,0,5460,"663a5c30a219723353ab4290"
"163","main_trial_26","0774.jpg","attn00.jpg","10",1,1,0,2445,"663a5c30a219723353ab4290"
"164","main_trial_27","attn29.jpg","0313.jpg","10",1,0,0,3751,"663a5c30a219723353ab4290"
"165","main_trial_28","attn08.jpg","0116.jpg","10",1,0,0,1957,"663a5c30a219723353ab4290"
"166","main_trial_29","0025.jpg","1046.jpg","01",0,1,0,4665,"663a5c30a219723353ab4290"
"167","main_trial_30","0630.jpg","0761.jpg","10",0,1,0,3351,"663a5c30a219723353ab4290"
"168","main_trial_31","0897.jpg","attn32.jpg","01",1,0,0,2995,"663a5c30a219723353ab4290"
"169","main_trial_32","0847.jpg","0198.jpg","10",0,0,0,7194,"663a5c30a219723353ab4290"
"170","main_trial_33","0623.jpg","0751.jpg","10",0,0,0,3901,"663a5c30a219723353ab4290"
"171","main_trial_34","0867.jpg","0428.jpg","01",0,1,0,3396,"663a5c30a219723353ab4290"
"172","main_trial_35","0610.jpg","0925.jpg","10",0,1,0,3449,"663a5c30a219723353ab4290"
"173","main_trial_36","0126.jpg","0622.jpg","01",0,0,0,2988,"663a5c30a219723353ab4290"
"174","main_trial_37","0975.jpg","attn10.jpg","01",1,0,0,2138,"663a5c30a219723353ab4290"
"175","main_trial_38","0677.jpg","attn31.jpg","10",1,1,0,3453,"663a5c30a219723353ab4290"
"176","main_trial_39","attn37.jpg","0500.jpg","01",1,1,0,2093,"663a5c30a219723353ab4290"
"177","main_trial_40","0662.jpg","0941.jpg","10",0,1,0,4445,"663a5c30a219723353ab4290"
"178","main_trial_41","0811.jpg","0209.jpg","10",0,1,0,4632,"663a5c30a219723353ab4290"
"179","main_trial_42","0938.jpg","0218.jpg","10",0,1,0,3061,"663a5c30a219723353ab4290"
"180","main_trial_43","0885.jpg","0317.jpg","01",0,1,0,6114,"663a5c30a219723353ab4290"
"181","main_trial_44","0348.jpg","0424.jpg","10",0,1,0,3959,"663a5c30a219723353ab4290"
"182","main_trial_45","0202.jpg","0409.jpg","01",0,1,0,5266,"663a5c30a219723353ab4290"
"183","main_trial_46","0378.jpg","0191.jpg","10",0,0,0,6314,"663a5c30a219723353ab4290"
"184","main_trial_47","0316.jpg","0868.jpg","10",0,0,0,3028,"663a5c30a219723353ab4290"
"185","main_trial_48","0481.jpg","0932.jpg","10",0,1,0,3264,"663a5c30a219723353ab4290"
"186","main_trial_49","attn28.jpg","0957.jpg","10",1,0,0,2290,"663a5c30a219723353ab4290"
"187","main_trial_50","0576.jpg","0829.jpg","01",0,1,0,5770,"663a5c30a219723353ab4290"
"188","main_trial_51","0607.jpg","0284.jpg","01",0,1,0,6843,"663a5c30a219723353ab4290"
"189","main_trial_52","0543.jpg","0179.jpg","01",0,0,0,6074,"663a5c30a219723353ab4290"
"190","main_trial_53","0227.jpg","0660.jpg","01",0,0,0,6971,"663a5c30a219723353ab4290"
"191","main_trial_54","0253.jpg","0605.jpg","10",0,1,0,8207,"663a5c30a219723353ab4290"
"192","main_trial_55","0766.jpg","0230.jpg","01",0,0,0,3164,"663a5c30a219723353ab4290"
"193","main_trial_56","0594.jpg","0450.jpg","01",0,1,0,4014,"663a5c30a219723353ab4290"
