"","exp_stage","image11","image12","click","attn","attn_index","attn_fail","rt","participant_id"
"161","main_trial_24","0900.jpg","0601.jpg","10",0,1,0,6115,"6673beb472e3c2b594f05d39"
"162","main_trial_25","0560.jpg","0454.jpg","01",0,0,0,4430,"6673beb472e3c2b594f05d39"
"163","main_trial_26","attn39.jpg","0011.jpg","01",1,1,0,3831,"6673beb472e3c2b594f05d39"
"164","main_trial_27","0281.jpg","0075.jpg","10",0,0,0,6882,"6673beb472e3c2b594f05d39"
"165","main_trial_28","0435.jpg","0525.jpg","10",0,0,0,5030,"6673beb472e3c2b594f05d39"
"166","main_trial_29","attn43.jpg","0906.jpg","10",1,0,0,4082,"6673beb472e3c2b594f05d39"
"167","main_trial_30","1042.jpg","0009.jpg","10",0,1,0,2980,"6673beb472e3c2b594f05d39"
"168","main_trial_31","attn23.jpg","0202.jpg","01",1,1,0,3282,"6673beb472e3c2b594f05d39"
"169","main_trial_32","0076.jpg","0712.jpg","01",0,1,0,2530,"6673beb472e3c2b594f05d39"
"170","main_trial_33","0194.jpg","attn46.jpg","01",1,0,0,2548,"6673beb472e3c2b594f05d39"
"171","main_trial_34","0785.jpg","0386.jpg","01",0,0,0,7715,"6673beb472e3c2b594f05d39"
"172","main_trial_35","0452.jpg","0399.jpg","10",0,1,0,7865,"6673beb472e3c2b594f05d39"
"173","main_trial_36","0686.jpg","0695.jpg","10",0,0,0,3930,"6673beb472e3c2b594f05d39"
"174","main_trial_37","0883.jpg","0885.jpg","01",0,1,0,2398,"6673beb472e3c2b594f05d39"
"175","main_trial_38","0933.jpg","0681.jpg","10",0,0,0,2364,"6673beb472e3c2b594f05d39"
"176","main_trial_39","0097.jpg","0561.jpg","01",0,0,0,2681,"6673beb472e3c2b594f05d39"
"177","main_trial_40","0093.jpg","1016.jpg","10",0,0,0,3030,"6673beb472e3c2b594f05d39"
"178","main_trial_41","0730.jpg","0238.jpg","10",0,0,0,2014,"6673beb472e3c2b594f05d39"
