"","participant_id","exp_stage","image","position","response"
"318","675ee6288c0fd12397719878","main_trial_8","0029.jpg",12,"0"
"319","663133329c295a5660a77567","main_trial_0","0274.jpg",1,"0"
"320","663133329c295a5660a77567","main_trial_0","0517.jpg",2,"1"
"321","663133329c295a5660a77567","main_trial_0","0186.jpg",3,"0"
"322","663133329c295a5660a77567","main_trial_0","0490.jpg",4,"0"
"323","663133329c295a5660a77567","main_trial_0","0406.jpg",5,"1"
"324","663133329c295a5660a77567","main_trial_0","1049.jpg",6,"0"
"325","663133329c295a5660a77567","main_trial_0","0841.jpg",7,"0"
"326","663133329c295a5660a77567","main_trial_0","0623.jpg",8,"0"
"327","663133329c295a5660a77567","main_trial_0","0083.jpg",9,"0"
"328","663133329c295a5660a77567","main_trial_0","1038.jpg",10,"1"
"329","663133329c295a5660a77567","main_trial_0","0571.jpg",11,"0"
"330","663133329c295a5660a77567","main_trial_0","0970.jpg",12,"1"
"331","663133329c295a5660a77567","main_trial_1","0708.jpg",1,"1"
"332","663133329c295a5660a77567","main_trial_1","0425.jpg",2,"1"
"333","663133329c295a5660a77567","main_trial_1","0204.jpg",3,"0"
"334","663133329c295a5660a77567","main_trial_1","0606.jpg",4,"0"
"335","663133329c295a5660a77567","main_trial_1","1099.jpg",5,"0"
"336","663133329c295a5660a77567","main_trial_1","0462.jpg",6,"0"
"337","663133329c295a5660a77567","main_trial_1","1040.jpg",7,"1"
"338","663133329c295a5660a77567","main_trial_1","1036.jpg",8,"0"
"339","663133329c295a5660a77567","main_trial_1","0091.jpg",9,"0"
"340","663133329c295a5660a77567","main_trial_1","0956.jpg",10,"0"
"341","663133329c295a5660a77567","main_trial_1","0899.jpg",11,"1"
"342","663133329c295a5660a77567","main_trial_1","0434.jpg",12,"0"
"343","663133329c295a5660a77567","main_trial_2","0133.jpg",1,"0"
"344","663133329c295a5660a77567","main_trial_2","0836.jpg",2,"1"
"345","663133329c295a5660a77567","main_trial_2","0908.jpg",3,"0"
"346","663133329c295a5660a77567","main_trial_2","0484.jpg",4,"0"
"347","663133329c295a5660a77567","main_trial_2","0784.jpg",5,"0"
"348","663133329c295a5660a77567","main_trial_2","0587.jpg",7,"1"
"349","663133329c295a5660a77567","main_trial_2","0291.jpg",8,"1"
"350","663133329c295a5660a77567","main_trial_2","0156.jpg",9,"0"
"351","663133329c295a5660a77567","main_trial_2","0560.jpg",10,"0"
"352","663133329c295a5660a77567","main_trial_2","0301.jpg",11,"0"
"353","663133329c295a5660a77567","main_trial_2","0689.jpg",12,"1"
"354","663133329c295a5660a77567","main_trial_3","0468.jpg",1,"1"
"355","663133329c295a5660a77567","main_trial_3","0565.jpg",2,"1"
"356","663133329c295a5660a77567","main_trial_3","0892.jpg",3,"1"
"357","663133329c295a5660a77567","main_trial_3","0534.jpg",4,"0"
"358","663133329c295a5660a77567","main_trial_3","0768.jpg",5,"0"
"359","663133329c295a5660a77567","main_trial_3","0632.jpg",6,"0"
